Month,Day_of_month,Day_of_week,pressure_height,Wind_speed,Humidity,Temperature_Sandburg,Temperature_ElMonte,Inversion_base_height,Pressure_gradient,Inversion_temperature,Visibility,ozone_reading
1,5,1,5760,3,51,54,45.32,1450,25,57.02,60,5.34
1,6,2,5720,4,69,35,49.64,1568,15,53.78,60,5.77
1,7,3,5790,6,19,45,46.4,2631,-33,54.14,100,3.69
1,8,4,5790,3,25,55,52.7,554,-28,64.76,250,3.89
1,9,5,5700,3,73,41,48.02,2083,23,52.52,120,5.76
1,12,1,5720,3,44,51,54.32,111,9,63.14,150,6.39
1,13,2,5760,6,33,51,57.56,492,-44,64.58,40,4.73
1,14,3,5780,6,19,54,56.12,5000,-44,56.3,200,4.35
1,15,4,5830,3,19,58,62.24,1249,-53,75.74,250,3.94
1,16,5,5870,2,19,61,64.94,5000,-67,65.48,200,7
1,19,1,5680,5,73,52,56.48,393,-68,69.8,10,4.07
1,21,3,5760,3,19,54,53.6,5000,-58,51.98,250,4.39
1,22,4,5730,4,26,58,52.7,5000,-26,51.98,200,3.69
1,23,5,5700,5,59,69,51.08,3044,18,52.88,150,4.9
1,27,2,5820,5,19,59,59.36,597,-52,70.52,70,6.15
1,29,4,5810,5,19,64,56.66,1791,-15,64.76,150,5.68
1,30,5,5790,3,28,63,57.38,793,-15,65.84,120,11.06
2,2,1,5770,8,76,63,57.2,816,-7,66.2,6,12.28
2,3,2,5670,3,69,54,45.5,3651,62,49.1,30,9.29
2,4,3,5590,3,76,36,37.4,5000,70,37.94,100,2.18
2,5,4,5410,6,64,31,32.18,5000,28,32.36,200,2.94
2,6,5,5350,7,62,30,32.54,1341,18,45.86,60,2.74
2,9,1,5490,11,72,37,38.48,5000,32,38.12,350,2.92
2,10,2,5560,10,72,41,40.46,5000,-1,37.58,300,4.08
2,12,4,5680,5,50,51,47.12,5000,-8,45.5,300,8.32
2,13,5,5700,4,86,55,49.28,2398,21,53.78,200,5.8
2,17,2,5770,5,68,45,52.88,2778,2,55.76,200,10.6
2,18,3,5770,3,82,55,55.4,442,26,58.28,40,12.77
